clip_name,code_switched,original_transcription,new_transcription,timestamp,processed,annotator
HH20211005[14_031-14_059].wav,False,àɽàŋgár jǎl líɟ͡í díjàlo,àɽàŋgár jǎl líɟ͡í díjàlo,2024-01-24 11:34:09.792577,True,Aaron
HH20211005[16_188-16_223].wav,False,àɽàŋgár jǎl úɟí díjàlò,àɽàŋgár jǎl úɟí díjàlò,2024-01-24 11:36:15.000042,True,Aaron
HH20211005[16_242-16_274].wav,False,àɽàŋgár jǎl úɟí díjàlò,àɽàŋgár jǎl úɟí díjàlò,2024-01-24 11:36:20.746485,True,Aaron
HH20211005[17_255-17_273].wav,,jǎl líɟ͡í díjàlò,,,,Aaron
HH20211005[17_302-17_317].wav,,jǎl líɟ͡í díjàlò,,,,Aaron
HH20211005[17_547-17_558].wav,,nàɽàŋgàr,,,,Aaron
HH20211005[17_573-17_583].wav,,nàɽàŋgàr,,,,Aaron
HH20211005[18_057-18_078].wav,,nàɽàŋgár nìcə̀lò,,,,Aaron
HH20211005[18_094-18_116].wav,,nàɽàŋgár nìcə̀lò,,,,Aaron
HH20211005[18_303-18_317].wav,,ǎgánɔ̂nǎ,,,,Aaron
HH20211005[18_325-18_356].wav,,ágánɔ̂nà àɽàŋgár nd̪ɔ̀bà,,,,Aaron
HH20211005[18_384-18_414].wav,,ágánɔ̂nà àɽàŋgár nd̪ɔ̀bà,,,,Aaron
HH20211005[18_540-18_573].wav,,ágánɔ̂nà nàɽàŋgár nd̪ɔ̀bà,,,,Aaron
HH20211005[18_590-19_019].wav,,ágánɔ̂nà nàɽàŋgár nd̪ɔ̀bà,,,,Aaron
HH20211005[19_281-19_322].wav,,àɽàŋgár jǎl líɟ͡í ńdràló vàɽàn,,,,Aaron
HH20211005[19_340-19_363].wav,,àɽàŋgár jǎl líɟ͡í ńdràló vàɽàn,,,,Aaron
HH20211005[19_407-19_416].wav,,ǹdràlò means,,,,Aaron
HH20211005[19_551-19_594].wav,,àɽàŋgár jǎl líɟ͡í ńdràló vàɽàn,,,,Aaron
HH20211005[20_085-20_109].wav,,àɽàŋgár jǎl líɟ͡í ńdràló vàɽàn,,,,Aaron
HH20211005[21_451-21_466].wav,,kàðɛ́və̀lèðɔ́ ðáŋàlà,,,,Aaron
HH20211005[21_499-21_525].wav,,kàðɛ́və̀lèðɔ́ ðáŋàlà,,,,Aaron
HH20211005[22_339-22_355].wav,,kàðɛ́və̀lèðɔ́,,,,Aaron
HH20211005[22_370-22_397].wav,,kàðɛ́və̀lèðɔ́ ðáŋàlà,,,,Aaron
HH20211005[22_523-22_538].wav,,kàðɛ́və̀lèðɔ́,,,,Aaron
HH20211005[23_162-23_176].wav,,kàðɛ́və̀lèðɔ́,,,,Aaron
HH20211005[23_378-23_412].wav,,ðà úrnɔ̌ və̀lèðà,,,,Aaron
HH20211005[23_444-23_462].wav,,ðà úrnɔ̀ və̀lèðà,,,,Aaron
HH20211005[24_251-24_266].wav,,ðá úrnɔ̀ və̀lèðɔ̀,,,,Aaron
HH20211005[24_379-24_395].wav,,ðáò ðá úrnɔ̀ və̀lèðɔ̀,,,,Aaron
HH20211005[24_411-24_428].wav,,ðàó ðá úrnɔ̀ və̀lèðɔ̀,,,,Aaron
HH20211005[24_451-24_474].wav,,ðàó ðá úrnɔ̀ və̀lèðɔ̀,,,,Aaron
HH20211005[24_565-24_575].wav,,ðá úrnɔ̀ və̀lèðɔ́,,,,Aaron
HH20211005[25_072-25_084].wav,,ðàó ðá úrnɔ̀ və̀lèðɔ̀,,,,Aaron
HH20211005[25_185-25_208].wav,,ðàó ðá úrnɔ̀ və̀lèðɔ́ t̪àwə̀nì,,,,Aaron
HH20211005[25_545-25_557].wav,,ðá úrnɔ̀ və̀lèðɔ́,,,,Aaron
HH20211005[26_508-26_527].wav,,ðàó ðá úrnɔ̀ və̀lèðɔ́,,,,Aaron
HH20211005[26_549-26_583].wav,,ðàó ðà úrnɔ̀ və̀lèðá t̪àwə̀nì,,,,Aaron
HH20211005[27_090-27_128].wav,,ùrnɔ́ kàðɛ́və́lêðà  ŋínɛ̀,,,,Aaron
HH20211005[27_164-27_190].wav,,ùrnɔ̀ kàðɛ́və́lêðà  ŋínɛ̀,,,,Aaron
HH20211005[27_428-27_447].wav,,ŋǎð úrnɔ̀ və̀lèðà,,,,Aaron
HH20211005[27_454-27_472].wav,,ŋǎð úrnɔ̀ və̀lèðà,,,,Aaron
HH20211005[27_496-27_509].wav,,ŋàðɛ́ úrnɔ̀ və̀lèðà,,,,Aaron
HH20211005[27_585-28_000].wav,,ŋàðɛ́ úrnɔ̀ və̀lèðà,,,,Aaron
HH20211005[28_030-28_053].wav,,ŋàðɛ́ úrnɔ̀ və̀lèðà t̪àwə̀nì,,,,Aaron
HH20211005[28_300-28_325].wav,,ŋàðɛ́ úrnɔ̀ və̀lèðà t̪àwə̀nì,,,,Aaron
HH20211005[28_598-29_013].wav,,kàðə́və́lêðà ŋínɛ̀,,,,Aaron
HH20211005[29_035-29_056].wav,,ùrnɔ̀ kàðɛ́və́lêðà ŋìnɛ̀,,,,Aaron
HH20211005[29_097-29_117].wav,,ùrnɔ̀ kàðɛ́və́lêðà ŋìnɛ̀,,,,Aaron
HH20211005[29_586-30_004].wav,,kàðɛ́və̀lèðà ŋìnɛ̀,,,,Aaron
HH20211005[30_015-30_032].wav,,kàðɛ́və̀lèðà ŋìnɛ̀,,,,Aaron
HH20211005[30_066-30_089].wav,,kàðɛ́və̀lèðà ŋìnɛ̀,,,,Aaron
HH20211005[30_209-30_230].wav,,kàðɛ́və̀lèðɔ́ ðáŋàlà,,,,Aaron
HH20211005[30_258-30_276].wav,,kàðɛ́və̀lèðɔ́ ðáŋàlà,,,,Aaron
HH20211005[30_276-30_298].wav,,kàðɛ́və̀lèðɔ́ ðáŋàlà,,,,Aaron
HH20211005[30_314-30_330].wav,,kàðɛ́və̀lèðɔ́ ðáŋàlà,,,,Aaron
HH20211005[31_060-31_090].wav,,ùrnɔ̀ káðɛ́və́lêðɔ́ ŋìnɛ̀,,,,Aaron
HH20211005[31_100-31_135].wav,,ùrnɔ̀ kàðɛ́və̀lèðɔ́ ŋìnɛ̀,,,,Aaron
HH20211005[31_232-31_254].wav,,ùrnɔ̀ káðɛ́və̀lèðɔ́ ŋìnɛ̀,,,,Aaron
HH20211005[31_349-31_373].wav,,ùrnɔ̀ káðɛ́və̀lèðɔ́ ŋìnɛ̀,,,,Aaron
HH20211005[31_451-31_473].wav,,ùrnɔ̀ kàðɛ́və̀lèðɔ́ ŋìnɛ̀,,,,Aaron
HH20211005[32_198-32_230].wav,,ŋàðɛ́ úrnɔ̀ və̀lèðɔ́ t̪àwə̀nì,,,,Aaron
HH20211005[32_248-32_281].wav,,ŋàðɛ́ úrnɔ̀ və̀lèðɔ́ t̪àwə̀nì,,,,Aaron
HH20211005[33_306-33_324].wav,,ŋá úrnɔ̀ ðɛ́və̀lɛ̀ðɔ̀,,,,Aaron
HH20211005[33_491-33_510].wav,,ŋá úrnɔ̀ ðɛ́və̀lɛ̀ðɔ̀,,,,Aaron
HH20211005[33_564-33_592].wav,,ŋá úrnɔ̀ ðɛ́və̀lɛ̀ðɔ́ t̪àwə̀nì,,,,Aaron
HH20211005[34_114-34_140].wav,,ŋá úrnɔ̀ ðɛ́və̀lɛ̀ðɔ́ t̪àwə̀nì,,,,Aaron
HH20211005[34_161-34_186].wav,,ŋá úrnɔ̀ ðɛ́və̀lɛ̀ðɔ́ t̪àwə̀nì,,,,Aaron
HH20211005[34_263-34_292].wav,,ŋá úrnɔ̀ ðɛ́və̀lɛ̀ðɔ́ t̪àwə̀nì,,,,Aaron
HH20211005[35_547-35_575].wav,,ŋà úrnɔ̀ və̀lɛ̀ðà t̪àwə̀nì,,,,Aaron
HH20211005[36_009-36_037].wav,,ŋà úrnɔ̀ və̀lɛ̀ðà t̪àwə̀nì,,,,Aaron
HH20211005[36_375-36_411].wav,,ŋǎ úrnɔ̌ ðɛ́və̀lɛ̀ðà t̪àwə̀nì,,,,Aaron
HH20211005[37_411-37_449].wav,,lìɟ͡í lìt̪rɔ́ làíjà ɛ̀ðɛ̀ jɛ́ ðə̀ɽù,,,,Aaron
HH20211005[37_460-37_526].wav,,lìɟ͡í lìt̪rɔ́ làíjà ɛ̀ðɛ̀ jɛ́ ðə̀ɽù,,,,Aaron
HH20211005[38_131-38_170].wav,,lìɟ͡í lìt̪rɔ́ làíjà ɛ̀ðɛ̀ jɛ́ ðə̀ɽù,,,,Aaron
HH20211005[38_182-38_211].wav,,lìɟ͡í lìt̪rɔ́ làíjà ɛ̀ðɛ̀ jɛ́ ðə̀ɽù,,,,Aaron
HH20211005[38_308-38_319].wav,,làíjà,,,,Aaron
HH20211005[38_319-38_331].wav,,làíjà,,,,Aaron
HH20211005[38_351-38_363].wav,,làíjà,,,,Aaron
HH20211005[39_407-39_427].wav,,lìɟ͡í lìt̪rɔ́ láìjɔ́,,,,Aaron
HH20211005[39_445-39_504].wav,,lìɟ͡í lìt̪rɔ́ láìjɔ́ ɛ́ðɛ̀ jɛ́ ðə́ɽú ndɔ̀bà,,,,Aaron
HH20211005[39_519-39_528].wav,,láìjɔ́,,,,Aaron
HH20211005[40_062-40_086].wav,,láìjɔ́ ɛ́ðɛ̀ jɛ́ ðə́ɽú ndɔ̀bà,,,,Aaron
HH20211005[41_492-41_511].wav,,lìɟ͡í lìt̪rɔ́ láìjɔ,,,,Aaron
HH20211005[43_003-43_024].wav,,lìjɔ́ ɛ́ðɛ̀ ùnɛ̀rɛ̀,,,,Aaron
HH20211005[43_040-43_067].wav,,lìjɔ́ ɛ́ðɛ̀ ùnɛ̀rɛ̀,,,,Aaron
HH20211005[43_266-43_282].wav,,lìjɔ́ ɛ́ðɛ̀ ùnɛ̀rɛ̀,,,,Aaron
HH20211005[43_376-43_390].wav,,lìjɔ́ ɛ́ðɛ̀ ùnɛ̀rɛ̀,,,,Aaron
HH20211005[44_111-44_126].wav,,íjɔ́ ɛ́ðɛ̀,,,,Aaron
HH20211005[44_134-44_147].wav,,íjɔ́ ɛ́ðɛ̀,,,,Aaron
HH20211005[44_221-44_231].wav,,íjɔ́ ɛ́ðɛ̀,,,,Aaron
HH20211005[44_261-44_271].wav,,íjɔ́ ɛ́ðɛ̀,,,,Aaron
HH20211005[45_025-45_036].wav,,íjɔ́ ɛ́ðɛ̀,,,,Aaron
HH20211005[45_056-45_067].wav,,so íjɔ́ ɛ́ðɛ̀,,,,Aaron
HH20211005[45_597-46_007].wav,,ìjá ɛ́ðɛ̀,,,,Aaron
HH20211005[46_460-46_469].wav,,ìjá ɛ́ðɛ̌,,,,Aaron
HH20211005[46_519-46_527].wav,,íjɔ́ ɛ́ðɛ̀,,,,Aaron
